"t","y"
1982.41666666667,99.17015002
1982.5,77.4452388
1982.58333333333,73.01323409
1982.66666666667,92.74291612
1982.75,90.57763863
1982.83333333333,89.27087411
1982.91666666667,91.8625551
1983,97.15382165
1983.08333333333,102.1127063
1983.16666666667,102.2822796
1983.25,102.5822142
1983.33333333333,97.55903832
1983.41666666667,90.28402972
1983.5,79.28740697
1983.58333333333,77.39865056
1983.66666666667,75.03077448
1983.75,80.14406295
1983.83333333333,94.04915712
1983.91666666667,85.08940519
1984,86.33503213
1984.08333333333,92.1485839
1984.16666666667,100.3477275
1984.25,113.378171
1984.33333333333,98.70557243
1984.41666666667,87.01048106
1984.5,70.1195792
1984.58333333333,77.98370633
1984.66666666667,82.34866863
1984.75,77.13392308
1984.83333333333,88.62124788
1984.91666666667,82.69868337
1985,84.0816041
1985.08333333333,84.71971792
1985.16666666667,84.45930174
1985.25,90.6435455
1985.33333333333,82.62289289
1985.41666666667,76.83502313
1985.5,61.95413356
1985.58333333333,58.59852975
1985.66666666667,65.94972316
1985.75,73.9762803
1985.83333333333,74.47804564
1985.91666666667,73.67074304
1986,71.72164553
1986.08333333333,60.15871304
1986.16666666667,57.20659037
1986.25,53.58679194
1986.33333333333,53.23716113
1986.41666666667,49.34150117
1986.5,42.35812632
1986.58333333333,49.35324354
1986.66666666667,62.51694412
1986.75,63.00298118
1986.83333333333,53.94501395
1986.91666666667,52.35172499
1987,65.04472391
1987.08333333333,75.28648456
1987.16666666667,76.77188799
1987.25,80.00948937
1987.33333333333,82.52696639
1987.41666666667,76.05409989
1987.5,64.91736119
1987.58333333333,82.40337004
1987.66666666667,71.2945561
1987.75,80.97831133
1987.83333333333,88.68681888
1987.91666666667,94.72042059
1988,104.5162946
1988.08333333333,113.449125
1988.16666666667,123.395222
1988.25,114.3150235
1988.33333333333,106.6243754
1988.41666666667,92.20999034
1988.5,85.67932713
1988.58333333333,85.65681916
1988.66666666667,87.33004308
1988.75,86.76012091
1988.83333333333,100.1457288
1988.91666666667,99.77821235
1989,111.9447568
1989.08333333333,97.44620228
1989.16666666667,103.9751484
1989.25,107.8792526
1989.33333333333,112.9985625
1989.41666666667,88.69332303
1989.5,85.80314504
1989.58333333333,83.20530449
1989.66666666667,82.90546307
1989.75,95.07321464
1989.83333333333,104.8968411
1989.91666666667,99.66351605
1990,105.5203473
1990.08333333333,98.18676173
1990.16666666667,95.31667086
1990.25,89.83164553
1990.33333333333,80.16769112
1990.41666666667,72.12492895
1990.5,66.18092524
1990.58333333333,71.50152067
1990.66666666667,70.89804131
1990.75,74.79561701
1990.83333333333,73.93516557
1990.91666666667,87.5218853
1991,94.11803992
1991.08333333333,105.3291347
1991.16666666667,108.2585413
1991.25,93.6354788
1991.33333333333,101.6342056
1991.41666666667,111.5330498
1991.5,91.17618556
1991.58333333333,81.57231421
1991.66666666667,81.79568327
1991.75,87.92599354
1991.83333333333,93.56965078
1991.91666666667,82.19932512
1992,78.87988095
1992.08333333333,72.65010119
1992.16666666667,66.42866503
1992.25,65.25094668
1992.33333333333,74.08383118
1992.41666666667,66.24939438
1992.5,58.00933581
1992.58333333333,61.93503335
1992.66666666667,59.36261841
1992.75,58.43727026
1992.83333333333,74.5838255
1992.91666666667,83.45904997
1993,79.96889722
1993.08333333333,76.60618673
1993.16666666667,78.79046291
1993.25,75.88050145
1993.33333333333,83.10523299
1993.41666666667,78.28061304
1993.5,66.10082834
1993.58333333333,64.55908037
1993.66666666667,67.08085482
1993.75,65.5442405
1993.83333333333,63.69953041
1993.91666666667,60.27026864
1994,60.24966748
1994.08333333333,55.37682346
1994.16666666667,52.62974797
1994.25,66.3934277
1994.33333333333,78.42989278
1994.41666666667,66.02511333
1994.5,69.00489739
1994.58333333333,73.52497358
1994.66666666667,77.39564219
1994.75,89.25238335
1994.83333333333,90.39884288
1994.91666666667,99.58949276
1995,98.22508389
1995.08333333333,95.42362498
1995.16666666667,98.88656326
1995.25,110.4926101
1995.33333333333,111.524913
1995.41666666667,98.63419034
1995.5,95.77011603
1995.58333333333,101.2303745
1995.66666666667,93.23828126
1995.75,75.58542119
1995.83333333333,77.93542568
1995.91666666667,77.26906363
1996,79.19623031
1996.08333333333,70.72993754
1996.16666666667,69.76561724
1996.25,76.7560156
1996.33333333333,72.00904884
1996.41666666667,71.74544617
1996.5,58.8350685
1996.58333333333,56.03523687
1996.66666666667,54.81491732
1996.75,60.6560943
1996.83333333333,79.74357806
1996.91666666667,75.43043831
1997,74.46215807
1997.08333333333,74.85640016
1997.16666666667,69.84753838
1997.25,64.58567252
1997.33333333333,62.73136563
1997.41666666667,60.59163922
1997.5,63.26321403
1997.58333333333,61.99601907
1997.66666666667,63.12858332
1997.75,60.15483388
1997.83333333333,58.25180647
1997.91666666667,59.88306463
1998,57.14260225
1998.08333333333,45.6782837
1998.16666666667,47.52333283
1998.25,45.09779168
1998.33333333333,44.65592821
1998.41666666667,42.89289784
1998.5,38.87041382
1998.58333333333,37.68738788
1998.66666666667,37.45244748
1998.75,40.69547421
1998.83333333333,39.89206752
1998.91666666667,38.05759683
1999,42.59148193
1999.08333333333,43.46923723
1999.16666666667,47.42060843
1999.25,46.02629132
1999.33333333333,49.85263112
1999.41666666667,46.24277293
1999.5,45.78968676
1999.58333333333,47.36892541
1999.66666666667,55.94295575
1999.75,61.99581029
1999.83333333333,61.21732235
1999.91666666667,57.7792376
2000,56.27504677
2000.08333333333,53.02163127
2000.16666666667,62.49928196
2000.25,65.15279988
2000.33333333333,69.23363068
2000.41666666667,68.56799112
2000.5,67.81981444
2000.58333333333,66.37195362
2000.66666666667,70.83228592
2000.75,69.20237383
2000.83333333333,67.58122474
2000.91666666667,63.84395899
2001,64.97208656
2001.08333333333,62.22551534
2001.16666666667,65.50351028
2001.25,66.29003586
2001.33333333333,69.50010129
2001.41666666667,62.94784723
2001.5,56.45534875
2001.58333333333,45.21836282
2001.66666666667,45.4651266
2001.75,44.08786702
2001.83333333333,42.9824499
2001.91666666667,39.22045411
2002,42.97237756
2002.08333333333,44.30815664
2002.16666666667,48.46411176
2002.25,47.88309587
2002.33333333333,49.5506111
2002.41666666667,46.42302
2002.5,44.57011513
2002.58333333333,48.85973507
2002.66666666667,56.22045421
2002.75,58.5953716
2002.83333333333,58.31811966
2002.91666666667,62.95392388
2003,66.71218472
2003.08333333333,70.60054641
2003.16666666667,73.45589732
2003.25,78.11297792
2003.33333333333,83.01543975
2003.41666666667,77.25570114
2003.5,85.7354672
2003.58333333333,86.33286726
2003.66666666667,87.58293942
